,lat,lng
,2.5,112.5
,47.3333,13.3333
,-10,-76
,-2,-77.5
,37,127.5
,23,-102
,38,-97
,36,138
,51,9
,-30,-71
,1.3667,103.8
,37,127.5
,2.5,112.5
,38,-97
,4,-72
,47.3333,13.3333
,-10,-76
,23,-102
,36,138
,-34,-64
,51,9
,-30,-71
,-2,-77.5
,52,20
,2.5,112.5
,-30,-71
,36,138
,38,-97
,51,9
,-10,-76
,4,-72
,52,20
,47.3333,13.3333
,1.3667,103.8
,23,-102
,-2,-77.5
,37,127.5
,-34,-64
,23,-102
,38,-97
,47.3333,13.3333
,36,138
,2.5,112.5
,-34,-64
,37,127.5
,24,54
,1.3667,103.8
,-30,-71
,4,-72
,51,9
,-2,-77.5
,-10,-76
,52,20
,38,-97
,53,-8
,-10,-76
,36,138
,37,127.5
,-2,-77.5
,2.5,112.5
,-30,-71
,4,-72
,-34,-64
,1.3667,103.8
,51,9
,47.3333,13.3333
,23,-102
,47.3333,13.3333
,15.5,-90.25
,1.3667,103.8
,-30,-71
,36,138
,-10,-76
,52,20
,37,127.5
,51,9
,38,-97
,23,-102
,2.5,112.5
,4,-72
,-34,-64
,-2,-77.5
,19,-70.6667
,36,138
,1.3667,103.8
,4,-72
,-34,-64
,-30,-71
,23,-102
,2.5,112.5
,-10,-76
,38,-97
,37,127.5
,51,9
,-2,-77.5
,52,20
,15.5,-90.25
,47.3333,13.3333
,2.5,112.5
,15.5,-90.25
,1.3667,103.8
,4,-72
,51,9
,-34,-64
,13,122
,36,138
,38,-97
,37,127.5
,23,-102
,19,-70.6667
,-5,120
,-30,-71
,47.3333,13.3333
,-10,-76
,-2,-77.5
,52,20
,-30,-71
,47.3333,13.3333
,-2,-77.5
,37,127.5
,15.5,-90.25
,36,138
,-10,-76
,19,-70.6667
,23,-102
,53,-8
,38,-97
,52,20
,4,-72
,13,122
,-34,-64
,51,9
,1.3667,103.8
,2.5,112.5
